1,Dissolved Inorganic Carbon Concentration,mol m-3,Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration,,dissic,,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,dissic,ocnBgchem,,area: areacello volume: volcello,,
2,Dissolved Organic Carbon Concentration,mol m-3,Dissolved organic carbon concentration,,dissoc,,mole_concentration_of_dissolved_organic_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,dissoc,ocnBgchem,,area: areacello volume: volcello,,
2,Phytoplankton Carbon Concentration,mol m-3,"sum of phytoplankton carbon component concentrations.  In most (all?) cases this is the sum of phycdiat and phycmisc (i.e., ""Diatom Carbon Concentration"" and ""Non-Diatom Phytoplankton Carbon Concentration""",,phyc,,mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,phyc,ocnBgchem,,area: areacello volume: volcello,,
2,Zooplankton Carbon Concentration,mol m-3,sum of zooplankton carbon component concentrations,,zooc,,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,zooc,ocnBgchem,,area: areacello volume: volcello,,
3,Bacterial Carbon Concentration,mol m-3,sum of bacterial carbon component concentrations,,bacc,,mole_concentration_of_bacteria_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,bacc,ocnBgchem,,area: areacello volume: volcello,,
2,Detrital Organic Carbon Concentration,mol m-3,sum of detrital organic carbon component concentrations,,detoc,,mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,detoc,ocnBgchem,,area: areacello volume: volcello,,
2,Calcite Concentration,mol m-3,"sum of particulate calcite component concentrations (e.g. Phytoplankton, Detrital, etc.)",,calc,,mole_concentration_of_calcite_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,calc,ocnBgchem,,area: areacello volume: volcello,,
2,Aragonite Concentration,mol m-3,"sum of particulate aragonite components (e.g. Phytoplankton, Detrital, etc.)",,arag,,mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,arag,ocnBgchem,,area: areacello volume: volcello,,
3,Mole Concentration of Diatoms expressed as Carbon in Sea Water,mol m-3,,,,,mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,0,ocnBgchem,,area: areacello volume: volcello,,
3,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,mol m-3,,,,,mole_concentration_of_diazotrophs_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,0,ocnBgchem,,area: areacello volume: volcello,,
3,Mole Concentration of Calcareous Phytoplankton expressed as Carbon in Sea Water,mol m-3,,,,,mole_concentration_of_calcareous_phytoplankton_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,0,ocnBgchem,,area: areacello volume: volcello,,
3,Mole Concentration of Picophytoplankton expressed as Carbon in Sea Water,mol m-3,,,,,mole_concentration_of_picophytoplankton_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,0,ocnBgchem,,area: areacello volume: volcello,,
3,Mole Concentration of Miscellaneous Phytoplankton expressed as Carbon in Sea Water,mol m-3,,,,,mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,0,ocnBgchem,,area: areacello volume: volcello,,
3,Mole Concentration of Microzooplankton expressed as Carbon in Sea Water,mol m-3,,,,,mole_concentration_of_microzooplankton_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,0,ocnBgchem,,area: areacello volume: volcello,,
3,Mole Concentration of Mesozooplankton expressed as Carbon in Sea Water,mol m-3,,,,,mole_concentration_of_mesozooplankton_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,0,ocnBgchem,,area: areacello volume: volcello,,
,,,,,,,,,,,,,,,,,,,,,,
3,Other Zooplankton Carbon Concentration,mol m-3,"carbon from additional zooplankton component concentrations alone (e.g. Micro, meso).  Since the models all have different numbers of components, this variable has been included to provide a check for intercomparison between models since some phytoplankton groups are supersets.",,zoocmisc,,mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,zoocmisc,ocnBgchem,,area: areacello volume: volcello,,
1,Total Alkalinity,mol m-3,"total alkalinity equivalent concentration (including carbonate, nitrogen, silicate, and borate components)",,talk,,sea_water_alkalinity_expressed_as_mole_equivalent,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,talk,ocnBgchem,,area: areacello volume: volcello,,
1,pH,1,negative log of hydrogen ion concentration with the concentration expressed as mol H kg-1.,,ph,,sea_water_ph_reported_on_total_scale,1,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,ph,ocnBgchem,,area: areacello volume: volcello,,
1,Dissolve Oxygen Concentration,mol m-3,dissolved oxygen gas concentration in sea water,,o2,,mole_concentration_of_molecular_oxygen_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,o2,ocnBgchem,,area: areacello volume: volcello,,
1,Dissolved Nitrate Concentration,mol m-3,dissolved nitrate concentration in sea water,,no3,mole_concentration_of_nitrate_in_sea_water,,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,no3,ocnBgchem,,area: areacello volume: volcello,,
2,Dissolved Ammonium Concentration,mol m-3,dissolved ammonium concentration in sea water,,nh4,mole_concentration_of_ammonium_in_sea_water,,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,nh4,ocnBgchem,,area: areacello volume: volcello,,
1,Dissolved Phosphate Concentration,mol m-3,dissolved Phosphate concentration in sea water,,po4,mole_concentration_of_phosphate_in_sea_water,,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,po4,ocnBgchem,,area: areacello volume: volcello,,
1,Dissolved Iron Concentration,mol m-3,dissolved iron concentration in sea water,"dissolved iron is meant to include both Fe2+ and Fe3+ ions (but not, e.g., particulate detrital iron)",dfe,,mole_concenration_of_dissolved_iron_in_sea_water,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,dfe,ocnBgchem,,area: areacello volume: volcello,,
1,Dissolved Silicate Concentration,mol m-3,dissolved silicate concentration in sea water,,si,mole_concentration_of_silicate_in_sea_water,,mol m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,si,ocnBgchem,,area: areacello volume: volcello,,
1,Total Chlorophyll Mass Concentration,kg m-3,"sum of chlorophyll from all phytoplankton group concentrations.  In most models this is equal to chldiat+chlmisc, that is the sum of ""Diatom Chlorophyll Mass Concentration"" plus ""Other Phytoplankton Chlorophyll Mass Concentration""",,chl,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,,kg m-3,time: mean area: mean where sea ,,,,,,real,longitude latitude olevel time,chl,ocnBgchem,,area: areacello volume: volcello,,
