1.0,Near-Surface Air Temperature,K,"near-surface (usually, 2 meter) air temperature.",,tas,air_temperature,,K,time: mean,,,,,,real,longitude latitude time height2m,tas,atmos,,area: areacella,,
1.0,Surface Temperature,K,"""skin"" temperature (i.e., SST for open ocean)",,ts,surface_temperature,,K,time: mean,,,,,,real,longitude latitude time,ts,atmos,,area: areacella,,
1.0,Daily Minimum Near-Surface Air Temperature,K,"monthly mean of the daily-minimum near-surface (usually, 2 meter) air temperature.",,tasmin,air_temperature,,K,time: minimum within days time: mean over days,,,,,,real,longitude latitude time height2m,tasmin,atmos,,area: areacella,,
1.0,Daily Maximum Near-Surface Air Temperature,K,"monthly mean of the daily-maximum near-surface (usually, 2 meter) air temperature.",,tasmax,air_temperature,,K,time: maximum within days time: mean over days,,,,,,real,longitude latitude time height2m,tasmax,atmos,,area: areacella,,
1.0,Sea Level Pressure,Pa,"not, in general, the same as surface pressure",,psl,air_pressure_at_sea_level,,Pa,time: mean,,,,,,real,longitude latitude time,psl,atmos,,area: areacella,,
1.0,Surface Air Pressure,Pa,"not, in general, the same as mean sea-level pressure",,ps,surface_air_pressure,,Pa,time: mean,,,,,,real,longitude latitude time,ps,atmos,,area: areacella,,
1.0,Eastward Near-Surface Wind,m s-1,"near-surface (usually, 10 meters) eastward component of wind.",,uas,eastward_wind,,m s-1,time: mean,,,,,,real,longitude latitude time height10m,uas,atmos,,area: areacella,,
1.0,Northward Near-Surface Wind,m s-1,"near-surface (usually, 10 meters) northward component of wind.",,vas,northward_wind,,m s-1,time: mean,,,,,,real,longitude latitude time height10m,vas,atmos,,area: areacella,,
1.0,Near-Surface Wind Speed,m s-1,"near-surface (usually, 10 meters) wind speed.  This is the mean of the speed, not the speed computed from the mean u and v components of wind",,sfcWind,wind_speed,,m s-1,time: mean,,,,,,real,longitude latitude time height10m,sfcWind,atmos,,area: areacella,,
1.0,Near-Surface Relative Humidity,%,"near-surface (usually, 2meters) relative humidity expressed as a percentage.  This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",,hurs,relative_humidity,,%,time: mean,,,,,,real,longitude latitude time height2m,hurs,atmos,,area: areacella,,
1.0,Near-Surface Specific Humidity,1.0,"near-surface (usually, 2 meters) specific humidity.",,huss,specific_humidity,,1.0,time: mean,,,,,,real,longitude latitude time height2m,huss,atmos,,area: areacella,,
,,,,,,,,,,,,,,,,,,atmos,,area: areacella,,
1.0,Precipitation,kg m-2 s-1,at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective),,pr,precipitation_flux,,kg m-2 s-1,time: mean,,,,,,real,longitude latitude time,pr,atmos,,area: areacella,,
1.0,Snowfall Flux,kg m-2 s-1,at surface; includes precipitation of all forms of water in the solid phase,,prsn,snowfall_flux,,kg m-2 s-1,time: mean,,,,,,real,longitude latitude time,prsn,atmos,,area: areacella,,
1.0,Convective Precipitation,kg m-2 s-1,at surface; includes both liquid and solid phases.,,prc,convective_precipitation_flux,,kg m-2 s-1,time: mean,,,,,,real,longitude latitude time,prc,atmos,,area: areacella,,
1.0,Evaporation,kg m-2 s-1,at surface; flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation),,evspsbl,water_evaporation_flux,,kg m-2 s-1,time: mean,,,,,,real,longitude latitude time,evspsbl,atmos,,area: areacella,,
1.0,Surface Snow and Ice Sublimation Flux,kg m-2 s-1,The snow and ice sublimation flux is the loss of snow and ice mass from the surface resulting from their conversion to water vapor that enters the atmosphere.,,sbl,water_sublimation_flux,,kg m-2 s-1,time: mean,,,,,,real,longitude latitude time,sbl,atmos,,area: areacella,,
