CMOR Table cf30min: CFMIP 30-Minute Cloud Diagnostic Fields,,,,,cf30min,,,,,,,,,,,,,
(All Saved on the Atmospheric Grid),,,,,,,,,,,,,,,,,,
"For further guidance, please see http://www.cfmip.net",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"The spread sheet ""CFMIP expts."" specifies the simulations and time-periods for which the cloud diagnostic fields listed on this spread sheet should be saved.",,,,,,,,,,,,,,,,,,
"CMOR Table cf30Min: ""CFMIP 30-min"" -- 2-D and 3-D fields on model levels sampled approximately every half-hour at specified locations (about 115 stations)",,,,,,,,,,,,,,,,,,
"The sampling interval must be the integer multiple of the model time-step that is nearest a half hour. Outputs should be instantaneous (not time mean) and from nearest gridbox (no spatial interpolation.)  Note that except for the quantities appearing in the Amon spreadsheet (first line of table below), all other fields are 3-D. ",,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions,output variable name ,confirmed or likely to be confirmed standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm
1,"see the ""Amon"" spreadsheet for list of quantities",,"This table includes the 2-D variables listed in the ""Amon"" spreadsheet, omitting, however, the daily maximum and minimum temperatures.  All variables should be reported as synoptic fields, not daily means.  ",,?,,,,time: point,,,,,,real,"site, time1",,atmos
1,Cloud Area Fraction,%,Include both large-scale and convective cloud.,,cl,cloud_area_fraction_in_atmosphere_layer,,%,time: point,,,,,,real,"alevel, site, time1",cl,atmos
1,Mass Fraction of Cloud Liquid Water,1,Include both large-scale and convective cloud.  Calculate as the mass of  cloud liquid water in the grid cell divided by the mass of air (including the water in all phases) in the grid cell.,,clw,mass_fraction_of_cloud_liquid_water__in_air,,1,time: point,,,,,,real,"alevel, site, time1",clw,atmos
1,Mass Fraction of Cloud Ice,1,Include both large-scale and convective cloud. Calculate as the mass of  cloud ice  in the grid cell divided by the mass of air (including the water in all phases) in the grid cell.,,cli,mass_fraction_of_cloud_ice_in_air,,1,time: point,,,,,,real,"alevel, site, time1",cli,atmos
1,Convective Mass Flux,kg m-2 s-1,"The atmosphere convective mass flux is the vertical transport of mass for a field of cumulus clouds or cloudless thermals, given by the product of air density and vertical velocity. Calculate as the convective mass flux divided by the area of the whole grid cell (not just the area of the updrafts).",,mc,convective_mass_flux,,kg m-2 s-1,time: point,,,,,,real,"alevel, site, time1",mc,atmos
1,Air Temperature,K,,,ta,air_temperature,,K,time: point,,,,,,real,"alevel, site, time1",ta,atmos
1,Eastward Wind,m s-1,,,ua,eastward_wind,,m s-1,time: point,,,,,,real,"alevel, site, time1",ua,atmos
1,Northward Wind,m s-1,,,va,northward_wind,,m s-1,time: point,,,,,,real,"alevel, site, time1",va,atmos
1,Specific Humidity,1,,,hus,specific_humidity,,1,time: point,,,,,,real,"alevel, site, time1",hus,atmos
