comment,description,egid,endy,ensz,original label,minimal model configuration,mip,nstart,ntot,starty,tier,uid,yps,experiment_id,seg-1,seg-2,seg-3,sub_experiment_id,sub_experiment,required source_type elements,additional allowed source_type elements,experiment label used in final version of GMD article,experiment title,parent_ experiment_id,parent_sub_ experiment_id,parent_activity_id,Questions/Comments/Notes,
,Future SSP3-7.0 with reduced NTCF emissions,f19af98c-c478-11e5-868e-ac72891c3257,2055,3,NtcfrespSsp37ntcf,AOGCM AER,AerChemMIP,1,41,2015,1,f19afd6a-c478-11e5-868e-ac72891c3257,41,ssp370-lowNTCF,ssp370,lowNTCF,,none,none,AOGCM AER,CHEM,ssp370-lowNTCF,"SSP3-7.0, with low NTCF emissions",historical,none,CMIP,,
,"Future SSP3-7.0, with SSTs prescribed  from ssp370",f19b0256-c478-11e5-868e-ac72891c3257,2055,1,NTCFRESPcntrl,AGCM AER,AerChemMIP,1,41,2015,1,f19b00e4-c478-11e5-868e-ac72891c3257,41,ssp370SST,ssp370SST,,,none,none,AGCM AER,CHEM,ssp370SST,"SSP3-7.0, with  SSTs prescribed from ssp370",,,,,
,"Future SSP3-7.0 with reduced NTCF emissions, prescribed SSTs",f19b0256-c478-11e5-868e-ac72891c3257,2055,1,NTCFRESPntcf,AGCM CHEM,AerChemMIP,1,41,2015,1,f19b0846-c478-11e5-868e-ac72891c3257,41,ssp370SST-lowNTCF,ssp370SST,lowNTCF,,none,none,AGCM AER CHEM,,ssp370SST-lowNTCF,"SSP3-7.0, prescribed SSTs, with low NTCF emissions",,,,,
,"Future SSP3-7.0 with reduced aerosol emissions (from ssp370-lowNTCF), prescribed SSTs",f19b0256-c478-11e5-868e-ac72891c3257,2055,1,NTCFRESPnox,AGCM AER,AerChemMIP,1,41,2015,1,f19b0846-c478-11e5-868e-ac72891c3257,41,ssp370SST-lowAer,ssp370SST,lowAer,,none,none,AGCM AER,CHEM,ssp370SST-lowAer,"SSP3-7.0, prescribed SSTs, with low aerosol emissions",,,,,
,"Future SSP3-7.0 with reduced black carbon emissions, prescribed SSTs",f19b0256-c478-11e5-868e-ac72891c3257,2055,1,NTCFRESPbc,AGCM AER,AerChemMIP,1,41,2015,1,f19b054e-c478-11e5-868e-ac72891c3257,41,ssp370SST-lowBC,ssp370SST,lowBC,,none,none,AGCM AER,CHEM,ssp370SST-lowBC,"SSP3-7.0, prescribed SSTs, with low black carbon emissions",,,,,
,"Future SSP3-7.0 with reduced ozone precursor emisions (from ssp370-lowNTCF), prescribed SSTs",f19b0256-c478-11e5-868e-ac72891c3257,2055,1,NTCFRESPo3,AGCM CHEM,AerChemMIP,1,41,2015,1,f19b0b34-c478-11e5-868e-ac72891c3257,41,ssp370SST-lowO3,ssp370SST,lowO3,,none,none,AGCM AER CHEM,,ssp370SST-lowO3,"SSP3-7.0, prescribed SSTs, with low ozone precursor emissions",,,,,
,"Future SSP3-7.0 with reduced CH4 concentrations, prescribed SSTs",f19b0256-c478-11e5-868e-ac72891c3257,2055,1,NTCFRESPo3ch4,AGCM CHEM,AerChemMIP,1,41,2015,1,f19b0ff8-c478-11e5-868e-ac72891c3257,41,ssp370SST-lowCH4,ssp370SST,lowCH4,,none,none,AGCM AER CHEM,,ssp370SST-lowCH4,"SSP3-7.0, prescribed SSTs, with low methane concentrations",,,,,
," Future SSP3-7.0 with low land use change (from ssp126), prescribed SSTs",,2055,1,,AGCM AER,AerChemMIP,1,41,2015,1,,41,ssp370SST-lowLu,ssp370SST,lowLu,,none,none,AGCM AER,CHEM,ssp370SST-lowLu,"SSP3-7.0, prescribed SSTs, with low land-use change",,,,,
,1850 control ,f19a9f3c-c478-11e5-868e-ac72891c3257,1850,1,RFDOCcntrl,AGCM AER,"RFMIP, AerChemMIP",1,30,1850,1,f19a9bf4-c478-11e5-868e-ac72891c3257,30,piClim-control,piClim,control,,none,none,AGCM AER,CHEM,piClim-control,pre-industrial with prescribed climatological SSTs,,,,RFMIP also wants this done.,
,Perturbation from 1850 control using 2014 aerosol and ozone precursor emissions,f19a9f3c-c478-11e5-868e-ac72891c3257,1850,1,RFDOCntcf,AGCM CHEM,AerChemMIP,1,30,1850,1,f19aa64e-c478-11e5-868e-ac72891c3257,30,piClim-NTCF,piClim,NTCF,,none,none,AGCM AER CHEM,,piClim-NTCF,"pre-industrial climatolgical SSTs and forcing, but with 2014 NTCF emissions",,,,,
,Perturbation from 1850 control using 2014 aerosol emissions,f19a9f3c-c478-11e5-868e-ac72891c3257,1850,1,RFDOCbc,AGCM AER,AerChemMIP,1,30,1850,2,f19aac20-c478-11e5-868e-ac72891c3257,30,piClim-aer,piClim,aer,,none,none,AGCM AER,CHEM,piClim-aer,"pre-industrial climatological SSTs and forcing, but 2014 aerosol emissions",,,,,
,Perturbation from 1850 control using 2014 BC emissions,f19a9f3c-c478-11e5-868e-ac72891c3257,1850,1,RFDOCbc,AGCM AER,AerChemMIP,1,30,1850,2,f19aac20-c478-11e5-868e-ac72891c3257,30,piClim-BC,piClim,BC,,none,none,AGCM AER,CHEM,piClim-BC,"pre-industrial climatological SSTs and forcing, but with 2014 black carbon emissions",,,,,
,Perturbation from 1850 control using 2014 ozone precursor emissions,f19a9f3c-c478-11e5-868e-ac72891c3257,1850,1,RFDOCo3,AGCM CHEM,AerChemMIP,1,30,1850,2,f19ab2e2-c478-11e5-868e-ac72891c3257,30,piClim-O3,piClim,O3,,none,none,AGCM AER CHEM,,piClim-O3,"pre-industrial climatological SSTs and forcing, but with 2014 ozone precursor emissions",,,,,
,Perturbation from 1850 control using 2014 CH4 concentrations,f19a9f3c-c478-11e5-868e-ac72891c3257,1850,1,RFDOCch4,AGCM CHEM,AerChemMIP,1,30,1850,2,f19ab85a-c478-11e5-868e-ac72891c3257,30,piClim-CH4,piClim,CH4,,none,none,AGCM AER CHEM,,piClim-CH4,"pre-industrial climatological SSTs and forcing, but with 2014 methane concentrations (including chemistry)",,,,,
,Perturbation from 1850 control using 2014 N2O concentrations,f19a9f3c-c478-11e5-868e-ac72891c3257,1850,1,RFDOCn2o,AGCM CHEM,AerChemMIP,1,30,1850,2,f19abd64-c478-11e5-868e-ac72891c3257,30,piClim-N2O,piClim,N2O,,none,none,AGCM AER CHEM,,piClim-N2O,"pre-industrial climatological SSTs and forcing, but with 2014 N2O concentrations (including chemistry)",,,,,
,Perturbation from 1850 control using 2014 halocarbon concentrations,f19a9f3c-c478-11e5-868e-ac72891c3257,1850,1,RFDOCods,AGCM CHEM,AerChemMIP,1,30,1850,2,f19ac246-c478-11e5-868e-ac72891c3257,30,piClim-HC,piClim,HC,,none,none,AGCM AER CHEM,,piClim-HC,"pre-industrial climatological SSTs and forcing, but with 2014 halocarbon concentrations (including chemistry)",,,,,
,Perturbation from 1850 control using 2014 NOx emissions,f19a9f3c-c478-11e5-868e-ac72891c3257,1850,1,RFDOCnox,AGCM CHEM,AerChemMIP,1,30,1850,3,f19ac728-c478-11e5-868e-ac72891c3257,30,piClim-NOX,piClim,NOX,,none,none,AGCM AER CHEM,,piClim-NOX,"pre-industrial climatological SSTs and forcing, but with 2014 NOx emissions",,,,,
,Perturbation from 1850 control using 2014 CO/VOC emissions,f19a9f3c-c478-11e5-868e-ac72891c3257,1850,1,RFDOCcovoc,AGCM CHEM,AerChemMIP,1,30,1850,3,f19acc0a-c478-11e5-868e-ac72891c3257,30,piClim-VOC,piClim,VOC,,none,none,AGCM AER CHEM,,piClim-VOC,"pre-industrial climatological SSTs and forcing, but with 2014 VOC emissions",,,,,
,1850 control with doubled dust emissions,f19b1f20-c478-11e5-868e-ac72891c3257,2014,1,FDBCKdust,AGCM AER,AerChemMIP,1,30,1850,2,f19b1db8-c478-11e5-868e-ac72891c3257,30,piClim-2xdust,piClim,2xdust,,none,none,AGCM AER,CHEM,piClim-2xdust,"pre-industrial climatological SSTs and forcing, but with doubled emissions of dust",,,,,
,1850 control with doubled sea salt emissions,f19b1f20-c478-11e5-868e-ac72891c3257,2014,1,FDBCKss,AGCM AER,AerChemMIP,1,30,1850,2,f19b2204-c478-11e5-868e-ac72891c3257,30,piClim-2xss,piClim,2xss,,none,none,AGCM AER,CHEM,piClim-2xss,"pre-industrial climatological SSTs and forcing, but with doubled emissions of sea salt",,,,,
,1850 control with doubled emissions of DMS,f19b1f20-c478-11e5-868e-ac72891c3257,1850,1,FDBCKdms,AGCM AER,AerChemMIP,1,30,1850,3,f19b24e8-c478-11e5-868e-ac72891c3257,30,piClim-2xDMS,piClim,2xDMS,,none,none,AGCM AER,CHEM,piClim-2xDMS,"pre-industrial climatological SSTs and forcing, but with doubled emissions of DMS",,,,,
,1850 control with doubled emissions of fires,f19b1f20-c478-11e5-868e-ac72891c3257,1850,1,FDBCKfire,AGCM AER,AerChemMIP,1,30,1850,3,f19b27cc-c478-11e5-868e-ac72891c3257,30,piClim-2xfire,piClim,2xfire,,none,none,AGCM AER,CHEM,piClim-2xfire,"pre-industrial climatological SSTs and forcing, but with doubled emissions from fires",,,,,
,1850 control with doubled emissions of lightning Nox,f19b1f20-c478-11e5-868e-ac72891c3257,1850,1,FDBCKnox,AGCM CHEM,AerChemMIP,1,30,1850,3,f19b2d94-c478-11e5-868e-ac72891c3257,30,piClim-2xNOX,piClim,2xNOX,,none,none,AGCM AER CHEM,,piClim-2xNOX,"pre-industrial climatological SSTs and forcing, but with doubled production of NOX due to lightning",,,,,
,1850 control with doubled emissions of biogenic VOCs,f19b1f20-c478-11e5-868e-ac72891c3257,1850,1,FDBCKvoc,AGCM CHEM,AerChemMIP,1,30,1850,3,f19b2ab0-c478-11e5-868e-ac72891c3257,30,piClim-2xVOC,piClim,2xVOC,,none,none,AGCM AER CHEM,,piClim-2xVOC,"pre-industrial climatological SSTs and forcing, but with doubled emissions of biogenic VOCs",,,,,
,Biogeochemically-coupled specified concentration simulation in which CO2 increases at a rate of 1% per year until quadrupling,f19b34b0-c478-11e5-868e-ac72891c3257,1989,1,esm1pcbgc,AOGCM BGM,C4MIP,1,140,1850,1,f19b3352-c478-11e5-868e-ac72891c3257,140,1pctCO2-bgc,1pctCO2,bgc,,none,none,AOGCM BGM,CHEM AER,,biogeochemically-coupled version of 1 percent per year increasing CO2 experiment,piControl,none,CMIP,,
,"Fully-coupled specified concentration simulation in which CO2 increases at a rate of 1% per year until quadrupling, plus an additional scenario of anthropogenic nitrogen deposition",f19b3dac-c478-11e5-868e-ac72891c3257,1989,1,esm1pccouNdep,AOGCM BGM,C4MIP,1,140,1850,2,f19b43a6-c478-11e5-868e-ac72891c3257,140,1pctCO2Ndep,1pctCO2Ndep,,,none,none,AOGCM BGM,CHEM AER,,1 percent per year increasing CO2 experient with increasing N-deposition,piControl,none,CMIP,,
,"Biogeochemically-coupled specified concentration simulation in which CO2 increases at a rate of 1% per year until quadrupling, plus an additional scenario of anthropogenic nitrogen deposition",f19b3dac-c478-11e5-868e-ac72891c3257,1989,1,esm1pcbgcNdep,AOGCM BGM,C4MIP,1,140,1850,2,f19b409a-c478-11e5-868e-ac72891c3257,140,1pctCO2Ndep-bgc,1pctCO2Ndep,bgc,,none,none,AOGCM BGM,CHEM AER,,biogeochemically-coupled version of 1 percent per year increasing CO2 experiment with increasing N-deposition,piControl,none,CMIP,,
,Radiatively-coupled specified concentration simulation in which CO2 increases at a rate of 1% per year until quadrupling,f19b3dac-c478-11e5-868e-ac72891c3257,1989,1,esm1pcrad,AOGCM BGM,C4MIP,1,140,1850,2,f19b3c3a-c478-11e5-868e-ac72891c3257,140,1pctCO2-rad,1pctCO2,rad,,none,none,AOGCM BGM,CHEM AER,,radiatively-coupled version of 1 percent per year increasing CO2 experiment,piControl,none,CMIP,,
,"historical simulation,  biogeochemically-coupled",f19b4806-c478-11e5-868e-ac72891c3257,2014,1,esmhistbgc,AOGCM BGM,C4MIP,1,165,1850,2,f19b469e-c478-11e5-868e-ac72891c3257,165,hist-bgc,hist,bgc,,none,none,AOGCM BGM,CHEM AER,,biogeochemically-coupled version of the simulation of the recent past with CO2 concentration prescribed ,piControl,none,CMIP,,
,Emissions-driven future scenario simulation,f19b3906-c478-11e5-868e-ac72891c3257,2100,1,Esmssp585,ESM,C4MIP,1,85,2015,1,f19b379e-c478-11e5-868e-ac72891c3257,85,esm-ssp585,esm,ssp585,,none,none,ESM,CHEM AER,,update of emission-driven RCP8.5 based on SSP5,esm-historical,none,CMIP,,
,"future scenario simulation,  biogeochemically-coupled",f19b4806-c478-11e5-868e-ac72891c3257,2100,1,Esmssp585bgc,ESM,C4MIP,1,85,2015,2,f19b4ad6-c478-11e5-868e-ac72891c3257,85,ssp585-bgc,ssp585,bgc,,none,none,ESM,CHEM AER,,biogeochemically-coupled version of the updated emission-driven RCP8.5 based on SSP5,esm-historical,none,CMIP,,
,future scenario simulation extension to 2300 biogeochemically-coupled,f19b4806-c478-11e5-868e-ac72891c3257,2300,1,Esmssp585extbgc,ESM,C4MIP,1,200,2101,2,f19b4e96-c478-11e5-868e-ac72891c3257,200,,,,,,none,,CHEM AER,,,,,,extension of ssp585-bgc to year 2300.,
,"Identical to the DECK abrupt-4xCO2, but at 0.5xCO2",f19b6ef8-c478-11e5-868e-ac72891c3257,,1,Abrupt05xco2,AOGCM,CFMIP,1,150,,2,f19b8424-c478-11e5-868e-ac72891c3257,150,abrupt-0p5xCO2,abrupt,0p5xCO2,,none,none,AOGCM,CHEM AER BGM,,,piControl,none,CMIP,,
,"Identical to the DECK abrupt-4xCO2, but at 2xCO2",f19b6ef8-c478-11e5-868e-ac72891c3257,,1,abrupt2xCO2,AOGCM,CFMIP,1,150,,2,f19b8140-c478-11e5-868e-ac72891c3257,150,abrupt-2xCO2,abrupt,2xCO2,,none,none,AOGCM,CHEM AER,,,piControl,none,CMIP,,
,"Conceptually similar to abrupt 4xCO2 DECK experiment, except that the solar constant (not CO2) is abruptly reduced by 4%.",f19b6ef8-c478-11e5-868e-ac72891c3257,,1,abruptSm4,AOGCM,CFMIP,1,150,,2,f19b7e66-c478-11e5-868e-ac72891c3257,150,abrupt-solm4p,abrupt,solm4p,,none,none,AOGCM,CHEM AER,,,piControl,none,CMIP,,
,"Conceptually similar to abrupt 4xCO2 DECK experiment, except that the solar constant (not CO2) is abruptly increased by 4%.",f19b6ef8-c478-11e5-868e-ac72891c3257,,1,abruptSp4,AOGCM,CFMIP,1,150,,2,f19b7b82-c478-11e5-868e-ac72891c3257,150,abrupt-solp4p,abrupt,solp4p,,none,none,AOGCM,CHEM AER,,,piControl,none,CMIP,,
,"This CFMIP amip experiment is the same as the DECK amip experiment, but will contain any additional outputs which are required as control variables for the amip4K, amip4xCO2, amipFuture and amipMinus4K experiments which are not included in the AMIP DECK experiment.  This experiment will not be required if all of the proposed CFMIP variables are included in the AMIP DECK Experiment.",f19b535a-c478-11e5-868e-ac72891c3257,2014,1,amip,AGCM,CFMIP,11,36,1979,1,f19b51f2-c478-11e5-868e-ac72891c3257,36,,,,,,none,AGCM,CHEM AER,,,,,,"needed for data request spreadsheet, but does not need a different experiment name.",
,As CMIP5/CFMIP-2.  AMIP experiment where SSTs are subject to a uniform warming of 4K.,f19b535a-c478-11e5-868e-ac72891c3257,2014,1,amip4K,AGCM,CFMIP,1,36,1979,1,f19b565c-c478-11e5-868e-ac72891c3257,36,amip-p4K,amip,p4K,,none,none,AGCM,CHEM AER,,AMIP plus 4K SSTs,,,,changed name from amip4K in CMIP5  to parallel other expts. in CMIP6.,
,As CMIP5/CFMIP-2.  AMIP experiment where SSTs are held at control values and the CO2 seen by the radiation scheme is quadrupled.,f19b535a-c478-11e5-868e-ac72891c3257,2014,1,amip4xCO2,AGCM,CFMIP,1,36,1979,1,f19b5954-c478-11e5-868e-ac72891c3257,36,amip-4xCO2,amip,4xCO2,,none,none,AGCM,CHEM AER,,control SSTs with 4xCO2,,,,"Is it o.k. to change title to:  ""AMIP SSTs with 4xCO2""",
,"As CMIP5/CFMIP-2.  AMIP experiment where SSTs are subject to a composite SST warming pattern derived from coupled models, scaled to a global mean of 4K.",f19b5db4-c478-11e5-868e-ac72891c3257,2014,1,amipFuture,AGCM,CFMIP,1,36,1979,1,f19b5c4c-c478-11e5-868e-ac72891c3257,36,amip-pat4K,amip,pat4K,,none,none,AGCM,CHEM AER,,AMIP plus warming pattern SSTs,,,,,
,AMIP experiment where SSTs are subject to a uniform cooling of 4K.,f19b5db4-c478-11e5-868e-ac72891c3257,2014,1,amipMinus4K,AGCM,CFMIP,1,36,1979,2,f19b6a98-c478-11e5-868e-ac72891c3257,36,amip-m4K,amip,m4K,,none,none,AGCM,CHEM AER,,AMIP minus 4K SSTs,,,,,
,Identical to standard AMIP experiment but from 1870-present with constant pre-industrial forcing levels (anthro & natural),f19b6ef8-c478-11e5-868e-ac72891c3257,2014,1,amipPiForcing,AGCM,CFMIP,1,145,1870,2,f19b874e-c478-11e5-868e-ac72891c3257,145,amip-piForcing,amip,piForcing,,none,none,AGCM,CHEM AER,,AMIP SSTs with control forcing,,,,,
,"Same as amip, but a patterned SST anomaly is applied on top of the monthly-varying amip SSTs. This anomaly is a monthly climatology, taken from each model's own abrupt4xCO2 run minus piControl (using the mean of years 111-140 of abrupt4xCO2, and the parallel 30-year section of piControl). CO2 is quadrupled, and the increase in CO2 is seen by both the radiation scheme and vegetation.",f19b8bae-c478-11e5-868e-ac72891c3257,2014,1,amipTot,AGCM,CFMIP,1,36,1979,2,f19b9d92-c478-11e5-868e-ac72891c3257,36,amipFuture-4xCO2-all,amipFuture,4xCO2,all,none,none,AGCM,CHEM AER,,AMIP plus warming pattern SSTs with 4xCO2,,,,"Is it o.k. to drop ""all"" in experiment_id",
,As CMIP5/CFMIP-2.  Aquaplanet experiment where SSTs are subject to a uniform warming of 4K.,f19b5db4-c478-11e5-868e-ac72891c3257,1988,1,aqua4K,AGCM,CFMIP,1,10,1979,1,f19b639a-c478-11e5-868e-ac72891c3257,10,aqua-p4K,aqua,p4K,,none,none,AGCM,CHEM AER,,aquaplanet plus 4K SSTs,,,,"changed name from ""aqua4K"" in CMIP5 to ""aqua-p4K"" in CMIP6. to parallel names of other experiments.",
,As CMIP5/CFMIP-2.  Aquaplanet experiment where SSTs are held at control values and the CO2 seen by the radiation scheme is quadrupled.,f19b5db4-c478-11e5-868e-ac72891c3257,1988,1,aqua4xCO2,AGCM,CFMIP,1,10,1979,1,f19b6692-c478-11e5-868e-ac72891c3257,10,aqua-4xCO2,aqua,4xCO2,,none,none,AGCM,CHEM AER,,aquaplanet with 4xCO2,,,,,
,As CMIP5/CFMIP-2.  Aquaplanet (no land) experiment with no seasonal cycle forced with specified zonally symmetric SSTs.,f19b5db4-c478-11e5-868e-ac72891c3257,1988,1,aquaControl,AGCM,CFMIP,1,10,1979,1,f19b60a2-c478-11e5-868e-ac72891c3257,10,aqua-control,aqua,control,,none,none,AGCM,CHEM AER,,Aquaplanet control,,,,,
,"As amipCF experiment, but with cloud-radiative effects switched off in the LW radiation code.",f19b6ef8-c478-11e5-868e-ac72891c3257,2014,1,offlwamip,AGCM,CFMIP,1,36,1979,2,f19b6d90-c478-11e5-868e-ac72891c3257,36,amip-lwoff,amip,lwoff,,none,none,AGCM,CHEM AER,,AMIP SSTs with longwave cloud-radiative effects off,,,,,
,"As amip-p4K experiment, but with cloud-radiative effects switched off in the LW radiation code.",f19b6ef8-c478-11e5-868e-ac72891c3257,2014,1,offlwamip4K,AGCM,CFMIP,1,36,1979,2,f19b71e6-c478-11e5-868e-ac72891c3257,36,amip-p4K-lwoff,amip,p4K,lwoff,none,none,AGCM,CHEM AER,,AMIP plus 4K SSTs with longwave cloud radiative effects off,,,,,
,"As aqua-p4K experiment, but with cloud-radiative effects switched off in the LW radiation code.",f19b6ef8-c478-11e5-868e-ac72891c3257,1988,1,offlwaqua4K,AGCM,CFMIP,1,10,1979,2,f19b7894-c478-11e5-868e-ac72891c3257,10,aqua-p4K-lwoff,aqua,p4K,lwoff,none,none,AGCM,CHEM AER,,aquaplanet plus 4K SSTs with longwave cloud radiative effects off,,,,,
,"As aqua-control experiment, but with cloud-radiative effects switched off in the LW radiation code.",f19b6ef8-c478-11e5-868e-ac72891c3257,1988,1,offlwaquaControl,AGCM,CFMIP,1,10,1979,2,f19b7592-c478-11e5-868e-ac72891c3257,10,aqua-control-lwoff,aqua,control,lwoff,none,none,AGCM,CHEM AER,,aquaplanet with longwave cloud radiative effects off,,,,,
,"An AGCM experiment with monthly-varying SSTs, sea-ice, atmospheric constituents and any other necessary boundary conditions (e.g. vegetation if required) taken from each model's own piControl run (using the 30 years of piControl that are parallel to years 111-140 of its abrupt4xCO2 run).",f19b8bae-c478-11e5-868e-ac72891c3257,Year 120 of piControl,1,sstPi,AGCM,CFMIP,1,20,Year 101 of piControl,2,f19b8a50-c478-11e5-868e-ac72891c3257,20,piSST-control,piSST,control,,none,none,AGCM,CHEM AER,,control SSTs,,,,This is *not* a climatology.,
,"Same as piSST, but with a spatially and temporally uniform SST anomaly applied on top of the monthly-varying piSST SSTs. The magnitude of the uniform increase is taken from each model's global, climatological annual mean SST change between abrupt4xCO2 minus piControl (using the mean of years 111-140 of abrupt4xCO2, and the parallel 30-year section of piControl).",,,,sstPiUniform,AGCM,CFMIP,,,,2,,,piSST-pxK,piSST,pxK,,none,none,AGCM,CHEM AER,,control plus scaled warming pattern,,,,,
,Same as sstPi but CO2 as seen by the radiation scheme is quadrupled.,f19b8bae-c478-11e5-868e-ac72891c3257,As above,1,sstPi4xCO2,AGCM,CFMIP,1,20,As above,2,f19b9180-c478-11e5-868e-ac72891c3257,20,piSST-4xCO2-rad,piSST,4xCO2,rad,none,none,AGCM,CHEM AER,,control SSTs with radiation-only seeing 4xCO2,,,,,
,Same as sstPi but CO2 is quadrupled. The increase in CO2 is seen by both the radiation scheme and vegetation.,f19b8bae-c478-11e5-868e-ac72891c3257,As above,1,sstPi4xCO2Veg,AGCM,CFMIP,1,20,As above,2,f19b9464-c478-11e5-868e-ac72891c3257,20,piSST-4xCO2-all,piSST,4xCO2,all,none,none,AGCM,CHEM AER,,control SSTs with 4xCO2,,,,"Is it o.k. to drop ""all"" in experiment_id?",
,"As piSST, but with monthly-varying SSTs and sea-ice taken from years 111-140 of each model's own abrupt4xCO2 experiment instead of from piControl.",f19b8bae-c478-11e5-868e-ac72891c3257,As above,1,sstPiFuture,AGCM,CFMIP,1,20,As above,2,f19b9752-c478-11e5-868e-ac72891c3257,20,futureSST,futureSST,,,none,none,AGCM,CHEM AER,,control plus warming pattern SSTs ,,,,,
